α = 1e-4       1e-5           1e-6           1e-7           1e-8           1e-9           1e-10          1e-11          1e-12          1e-13          1e-14          1e-15
6.12681582e-01 5.68591866e-01 5.62478769e-01 5.67700901e-01 5.76589444e-01 5.78886088e-01 5.78883347e-01 5.77999697e-01 5.77497629e-01 5.77384607e-01 5.77286837e-01 5.63837659e-01
6.11161090e-01 5.68920359e-01 5.62998393e-01 5.67588884e-01 5.75485429e-01 5.77529929e-01 5.77555939e-01 5.76866425e-01 5.76489169e-01 5.76600042e-01 5.77750113e-01 5.87361242e-01
6.09621866e-01 5.69181164e-01 5.63448792e-01 5.67446803e-01 5.74411262e-01 5.76218451e-01 5.76268195e-01 5.75748983e-01 5.75453340e-01 5.75443598e-01 5.75791784e-01 5.75323221e-01
6.08065209e-01 5.69377146e-01 5.63832769e-01 5.67275495e-01 5.73364796e-01 5.74948814e-01 5.75018007e-01 5.74648543e-01 5.74434249e-01 5.74343285e-01 5.73395475e-01 5.66910227e-01
6.06492356e-01 5.69511048e-01 5.64153010e-01 5.67075778e-01 5.72344020e-01 5.73718346e-01 5.73803349e-01 5.73567174e-01 5.73421098e-01 5.73355063e-01 5.72414405e-01 5.65369256e-01
6.04904480e-01 5.69585489e-01 5.64412084e-01 5.66848458e-01 5.71347053e-01 5.72524488e-01 5.72621685e-01 5.72500735e-01 5.72412002e-01 5.72273496e-01 5.71124097e-01 5.64306615e-01
6.03302699e-01 5.69602978e-01 5.64612454e-01 5.66594321e-01 5.70372142e-01 5.71364937e-01 5.71471458e-01 5.71453690e-01 5.71448248e-01 5.71607033e-01 5.73352999e-01 5.92103513e-01
6.01688072e-01 5.69565914e-01 5.64756481e-01 5.66314139e-01 5.69417636e-01 5.70237362e-01 5.70349901e-01 5.70416737e-01 5.70443621e-01 5.70381370e-01 5.70358509e-01 5.69165483e-01
6.00061608e-01 5.69476592e-01 5.64846426e-01 5.66008668e-01 5.68482008e-01 5.69139777e-01 5.69256287e-01 5.69400700e-01 5.69497554e-01 5.69761962e-01 5.71985615e-01 5.94593921e-01
5.98424267e-01 5.69337212e-01 5.64884458e-01 5.65678645e-01 5.67563819e-01 5.68070140e-01 5.68188110e-01 5.68393314e-01 5.68523365e-01 5.68667580e-01 5.70566266e-01 5.95975520e-01
